id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
801075912407175268,minsu in Datong District · ★4.89 · 2 bedrooms · 3 beds · 1 bath,99932146,Vanessa,,大同區,25.049017465795924,121.51813764973753,Entire home/apt,4300,1,18,2023-06-13,3.46,3,182,18,
801300491319734827,Rental unit in Songshan District · ★5.0 · 3 bedrooms · 6 beds · 2 baths,330579461,Toto,,松山區,25.047199398821107,121.55911732753019,Entire home/apt,6543,30,5,2023-05-22,1.09,21,171,5,
802550803541818906,Rental unit in Da’an District · ★4.0 · 1 bedroom · 3 beds · 2 shared baths,61907852,Louis,,大安區,25.02129863792022,121.52807437936713,Shared room,464,1,5,2023-06-11,0.89,4,359,5,
802753052552516699,Rental unit in Shilin District · 1 bedroom · 1 bed · 1 private bath,493418581,佳穎,,士林區,25.1013581,121.5211688,Private room,750,1,2,2023-02-27,0.45,1,0,2,
802758126104494315,Rental unit in Wanhua District · Studio · 1 bed · 1 bath,471945582,House,,萬華區,25.04679829347334,121.50485370479271,Entire home/apt,9,30,1,2023-05-16,0.64,48,105,1,
803080252890905011,Rental unit in Neihu District · 2 bedrooms · 2 beds · 2 baths,28596044,Momo,,內湖區,25.0601705,121.5835053,Entire home/apt,3419,14,0,,,13,147,0,
803178338227359690,Rental unit in Datong District · 2 bedrooms · 2 beds · 1 bath,485731738,世奇,,大同區,25.048727196521284,121.51763737822012,Entire home/apt,8000,1,0,,,1,0,0,
803347963487320764,Rental unit in Da’an District · ★4.20 · 3 bedrooms · 3 beds · 3 baths,471945582,House,,大安區,25.031335912945387,121.55500113714949,Entire home/apt,2314,4,10,2023-06-08,2.73,48,3,10,
803952167201911162,Rental unit in Da’an District · 1 bedroom · 1 bed · 1 bath,105820084,愛麗,,大安區,25.026207229694005,121.54449856359155,Private room,1537,5,0,,,3,60,0,
804134861188046665,Rental unit in Zhongshan District · 1 bedroom · 1 bed · 1 private bath,383714739,Mandy黃SaycHouse,,中山區,25.05207639882528,121.52818736703807,Private room,1380,30,0,,,11,323,0,
804189013554564996,minsu in Xinyi District · ★4.75 · 1 bedroom · 1 bed · 1 bath,146254191,Joseph & Elva,,信義區,25.040463620717926,121.57517622344675,Entire home/apt,2670,4,4,2023-06-22,1.46,29,89,4,
804705062997872720,Rental unit in 文山區 · ★4.89 · 1 bedroom · 1 bed · 1.5 baths,491502282,Anita,,文山區,24.988422,121.539796,Entire home/apt,1300,3,18,2023-06-25,3.48,11,34,18,
804712635333381048,Rental unit in Zhongzheng District · ★4.89 · 1 bedroom · 1 bed · 1 bath,2434913,Jenny,,中正區,25.046241795595286,121.51326701223034,Entire home/apt,2000,2,27,2023-06-30,5.33,1,23,27,
804786246162924444,Rental unit in Xinyi District · 1 bedroom · 1 bed · 1 private bath,22840761,Kikina,,信義區,25.046387014930847,121.57812837874425,Private room,1529,4,1,2023-03-18,0.29,16,91,1,
804802813404537858,Rental unit in Xinyi District · 1 bedroom · 1 bed · 1 shared bath,471945582,House,,信義區,25.0300687,121.5616607,Private room,5,30,1,2023-06-20,1,48,155,1,
804846011550764885,Rental unit in Xinyi District · 3 bedrooms · 3 beds · 2 baths,213704427,Zoe,,信義區,25.04386,121.56954,Entire home/apt,5500,30,0,,,12,155,0,
805301484553952723,Serviced apartment in Zhongzheng District · 2 bedrooms · 2 beds · 1 bath,104979863,Frank,,中正區,25.022627470480895,121.5257875946964,Entire home/apt,4000,4,1,2023-06-29,1,15,132,1,
805730820897168595,Loft in Wanhua District · ★4.63 · Studio · 4 beds · 1 bath,79915350,Paradise Taipei,,萬華區,25.040350252252722,121.50619268975841,Entire home/apt,3357,5,24,2023-06-21,5.26,17,130,24,
806089685986056697,Rental unit in Xinyi District · 5 bedrooms · 8 beds · 2 baths,401253145,彥怡,,信義區,25.026746738554746,121.56545956103771,Entire home/apt,10571,1,1,2023-04-18,0.40,5,62,1,
806186664722906871,Rental unit in Da’an District · ★4.75 · 1 bedroom · 2 beds · 1.5 baths,37039316,Yoco,,大安區,25.04212334953893,121.54631779058236,Entire home/apt,2050,3,4,2023-05-09,1.00,2,224,4,
806215986344597630,Home in Zhongzheng District · 1 bedroom · 2 beds · Shared half-bath,489403010,宥瑩,,中正區,25.030373965991153,121.51942028656578,Private room,500,30,0,,,12,311,0,
807217801017818668,Condo in Datong District · 1 bedroom · 1 bed · 1 shared bath,228693959,芹,,大同區,25.062515359850806,121.51520563024212,Private room,1100,30,0,,,3,210,0,
807351534870112863,Loft in Wanhua District · ★4.65 · 3 bedrooms · 3 beds · 1 bath,493324130,House,,萬華區,25.043102182365054,121.50388843656674,Entire home/apt,3948,2,26,2023-06-11,4.94,34,58,26,
807444655096061281,Rental unit in Wanhua District · ★4.80 · 1 bedroom · 1 bed · 1 private bath,314162496,Shirley,,萬華區,25.044001,121.5077991,Private room,515,3,5,2023-03-12,1.10,5,0,5,
807582199465625439,Rental unit in Wanhua District · ★4.96 · 1 bedroom · 1 bed · 1.5 baths,136010110,Rex,,萬華區,25.043558980717133,121.50335028465574,Entire home/apt,1557,2,25,2023-06-22,5.24,16,26,25,
807793376661612508,Rental unit in Wanhua District · ★4.67 · 1 bedroom · 1 bed · 1 private bath,314162496,Shirley,,萬華區,25.0430265876396,121.5075401604769,Private room,515,3,3,2023-03-17,0.78,5,0,3,
807799272978453601,Rental unit in Wanhua District · ★4.75 · 1 bedroom · 2 beds · 1 private bath,314162496,Shirley,,萬華區,25.044892476819893,121.50704634443436,Private room,546,3,4,2023-03-24,0.84,5,0,4,
807810383545180316,Rental unit in Wanhua District · 1 bedroom · 1 bed · 1 private bath,314162496,Shirley,,萬華區,25.044001,121.5077991,Private room,515,3,1,2023-03-13,0.27,5,0,1,
808236818177427659,Rental unit in Xinyi District · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,17149659,Marty,,信義區,25.031773006206567,121.57674959012138,Private room,1500,30,4,2023-06-30,0.92,1,108,4,
808283336112502848,Condo in Xinyi District · ★4.95 · 1 bedroom · 1 bed · 1 shared bath,135306544,Nancy,,信義區,25.0404862,121.5736083,Private room,1016,1,20,2023-06-20,4.11,1,136,20,
808565545553125915,Rental unit in Songshan District · 2 bedrooms · 2 beds · 1 bath,383714739,Mandy黃SaycHouse,,松山區,25.058597882184014,121.57026420461953,Entire home/apt,1600,30,2,2023-06-14,0.69,11,321,2,
808660626616995904,Rental unit in Zhongzheng District · ★New · 2 bedrooms · 5 beds · 3 baths,493119851,Aaron,,中正區,25.0386481289375,121.53038848910778,Entire home/apt,5429,1,0,,,1,336,0,
809271555747969934,Rental unit in Wanhua District · 1 bedroom · 1 bed · 1 private bath,314162496,Shirley,,萬華區,25.045040421516212,121.5081393748917,Private room,516,3,2,2023-03-01,0.47,5,0,2,
